2021-08-27 07:16:59 status unpacked libselinux1:amd64 3.0-1build2
2021-08-27 07:16:59 install libsemanage-common:all <none> 3.0-1build2
2021-08-27 07:16:59 status half-installed libsemanage-common:all 3.0-1build2
2021-08-27 07:16:59 status unpacked libsemanage-common:all 3.0-1build2
2021-08-27 07:16:59 install libsemanage1:amd64 <none> 3.0-1build2
2021-08-27 07:16:59 status half-installed libsemanage1:amd64 3.0-1build2
2021-08-27 07:16:59 status unpacked libsemanage1:amd64 3.0-1build2
2021-08-27 07:16:59 install libsepol1:amd64 <none> 3.0-1
2021-08-27 07:16:59 status half-installed libsepol1:amd64 3.0-1
2021-08-27 07:16:59 status unpacked libsepol1:amd64 3.0-1
2021-08-27 07:16:59 install libsmartcols1:amd64 <none> 2.34-0.1ubuntu9
2021-08-27 07:16:59 status half-installed libsmartcols1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:59 status unpacked libsmartcols1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:59 install libss2:amd64 <none> 1.45.5-2ubuntu1
2021-08-27 07:16:59 status half-installed libss2:amd64 1.45.5-2ubuntu1
2021-08-27 07:16:59 status unpacked libss2:amd64 1.45.5-2ubuntu1
2021-08-27 07:16:59 install libsystemd0:amd64 <none> 245.4-4ubuntu3
2021-08-27 07:16:59 status half-installed libsystemd0:amd64 245.4-4ubuntu3
2021-08-27 07:16:59 status unpacked libsystemd0:amd64 245.4-4ubuntu3
2021-08-27 07:16:59 install libtinfo6:amd64 <none> 6.2-0ubuntu2
2021-08-27 07:16:59 status half-installed libtinfo6:amd64 6.2-0ubuntu2
2021-08-27 07:16:59 status unpacked libtinfo6:amd64 6.2-0ubuntu2
2021-08-27 07:16:59 install libudev1:amd64 <none> 245.4-4ubuntu3
2021-08-27 07:16:59 status half-installed libudev1:amd64 245.4-4ubuntu3
2021-08-27 07:16:59 status unpacked libudev1:amd64 245.4-4ubuntu3
2021-08-27 07:16:59 install libuuid1:amd64 <none> 2.34-0.1ubuntu9
2021-08-27 07:16:59 status half-installed libuuid1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:59 status unpacked libuuid1:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:59 install libzstd1:amd64 <none> 1.4.4+dfsg-3
2021-08-27 07:16:59 status half-installed libzstd1:amd64 1.4.4+dfsg-3
2021-08-27 07:16:59 status unpacked libzstd1:amd64 1.4.4+dfsg-3
2021-08-27 07:16:59 install login:amd64 <none> 1:4.8.1-1ubuntu5
2021-08-27 07:16:59 status half-installed login:amd64 1:4.8.1-1ubuntu5
2021-08-27 07:16:59 status unpacked login:amd64 1:4.8.1-1ubuntu5
2021-08-27 07:16:59 install logsave:amd64 <none> 1.45.5-2ubuntu1
2021-08-27 07:16:59 status half-installed logsave:amd64 1.45.5-2ubuntu1
2021-08-27 07:16:59 status unpacked logsave:amd64 1.45.5-2ubuntu1
2021-08-27 07:16:59 install lsb-base:all <none> 11.1.0ubuntu2
2021-08-27 07:16:59 status half-installed lsb-base:all 11.1.0ubuntu2
2021-08-27 07:16:59 status unpacked lsb-base:all 11.1.0ubuntu2
2021-08-27 07:16:59 upgrade mawk:amd64 1.3.4.20200120-2 1.3.4.20200120-2
2021-08-27 07:16:59 status half-configured mawk:amd64 1.3.4.20200120-2
2021-08-27 07:16:59 status unpacked mawk:amd64 1.3.4.20200120-2
2021-08-27 07:16:59 status half-installed mawk:amd64 1.3.4.20200120-2
2021-08-27 07:16:59 status unpacked mawk:amd64 1.3.4.20200120-2
2021-08-27 07:16:59 install mount:amd64 <none> 2.34-0.1ubuntu9
2021-08-27 07:16:59 status half-installed mount:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:59 status unpacked mount:amd64 2.34-0.1ubuntu9
2021-08-27 07:16:59 install ncurses-base:all <none> 6.2-0ubuntu2
2021-08-27 07:16:59 status half-installed ncurses-base:all 6.2-0ubuntu2
2021-08-27 07:16:59 status unpacked ncurses-base:all 6.2-0ubuntu2
2021-08-27 07:16:59 install ncurses-bin:amd64 <none> 6.2-0ubuntu2
2021-08-27 07:16:59 status half-installed ncurses-bin:amd64 6.2-0ubuntu2
2021-08-27 07:16:59 status unpacked ncurses-bin:amd64 6.2-0ubuntu2
2021-08-27 07:16:59 install passwd:amd64 <none> 1:4.8.1-1ubuntu5
2021-08-27 07:16:59 status half-installed passwd:amd64 1:4.8.1-1ubuntu5
2021-08-27 07:17:00 status unpacked passwd:amd64 1:4.8.1-1ubuntu5
2021-08-27 07:17:00 upgrade perl-base:amd64 5.30.0-9build1 5.30.0-9build1
2021-08-27 07:17:00 status half-configured perl-base:amd64 5.30.0-9build1
2021-08-27 07:17:00 status unpacked perl-base:amd64 5.30.0-9build1
2021-08-27 07:17:00 status half-installed perl-base:amd64 5.30.0-9build1
2021-08-27 07:17:00 status unpacked perl-base:amd64 5.30.0-9build1
2021-08-27 07:17:00 install procps:amd64 <none> 2:3.3.16-1ubuntu2
2021-08-27 07:17:00 status half-installed procps:amd64 2:3.3.16-1ubuntu2
2021-08-27 07:17:00 status unpacked procps:amd64 2:3.3.16-1ubuntu2
2021-08-27 07:17:00 install sed:amd64 <none> 4.7-1
2021-08-27 07:17:00 status half-installed sed:amd64 4.7-1
2021-08-27 07:17:00 status unpacked sed:amd64 4.7-1
2021-08-27 07:17:00 install sensible-utils:all <none> 0.0.12+nmu1
2021-08-27 07:17:00 status half-installed sensible-utils:all 0.0.12+nmu1
2021-08-27 07:17:00 status unpacked sensible-utils:all 0.0.12+nmu1
2021-08-27 07:17:00 install sysvinit-utils:amd64 <none> 2.96-2.1ubuntu1
2021-08-27 07:17:00 status half-installed sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-08-27 07:17:00 status unpacked sysvinit-utils:amd64 2.96-2.1ubuntu1
2021-08-27 07:17:00 install tar:amd64 <none> 1.30+dfsg-7
2021-08-27 07:17:00 status half-installed tar:amd64 1.30+dfsg-7
2021-08-27 07:17:00 status unpacked tar:amd64 1.30+dfsg-7
